Verb,Speaker,Sentence,Origin,BirthYear,Gender,Race
kwa,LD,"Koman vou <VERB>kwa</VERB>? ...",False_River,1938,Male,Black
ole,LD,"Se kòm sa nou te (...) nouzòt, m <VERB>ole</VERB> di vou.",False_River,1938,Male,Black
konpran,LD,"Chnal, se la lve, vou frape leu Fleuv la lve an en kote e lòt kote la Rivyè se Rougon e Glin, vou <VERB>konpran</VERB>?",False_River,1938,Male,Black
rès,LD,"Mo momon te kònen di mo, 'Ga, rès dan pl--- aou to <VERB>rès</VERB>,' li di, 'To konnen, to kouri---' men wi men--- ... en moun <VERB>ka</VERB> aprann.",False_River,1938,Male,Black
konpran,LD,"Mo p ole gen en plas si li p ole mo la, vou <VERB>konpran</VERB>?",False_River,1938,Male,Black
konprann,LD,"Vou <VERB>konprann</VERB> sa?",False_River,1938,Male,Black
konpran,LD,"To <VERB>konpran</VERB>?",False_River,1938,Male,Black
