"TV","SPEAKER","GENDER","AGE","REGION"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"vous","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
